tag,id,name,classes,text,xpath
"button","","","btn btn-success","Test Cases","/html/body/section/div/div/div/div/div/div/div/a/button"
"button","","","btn btn-success","APIs list for practice","/html/body/section/div/div/div/div/div/div/div/a[2]/button"
"button","","","btn btn-success","Test Cases","/html/body/section/div/div/div/div/div/div[2]/div/a/button"
"button","","","btn btn-success","APIs list for practice","/html/body/section/div/div/div/div/div/div[2]/div/a[2]/button"
"button","","","btn btn-success","Test Cases","/html/body/section/div/div/div/div/div/div[3]/div/a/button"
"button","","","btn btn-success","APIs list for practice","/html/body/section/div/div/div/div/div/div[3]/div/a[2]/button"
"button","","","btn btn-success close-modal btn-block","Continue Shopping","/html/body/section[2]/div/div/div[2]/div/div/div/div/div[3]/button"
"button","subscribe","","btn btn-default","","//*[@id=subscribe]"
"input","","csrfmiddlewaretoken","","","/html/body/footer/div/div/div/div[2]/div/form/input"
"input","susbscribe_email","","","","//*[@id=susbscribe_email]"
"a","","","","","/html/body/header/div/div/div/div/div/a"
"a","","","","Home","/html/body/header/div/div/div/div[2]/div/ul/li/a"
"a","","",""," Products","/html/body/header/div/div/div/div[2]/div/ul/li[2]/a"
"a","","","","Cart","/html/body/header/div/div/div/div[2]/div/ul/li[3]/a"
"a","","","","Signup / Login","/html/body/header/div/div/div/div[2]/div/ul/li[4]/a"
"a","","","","Test Cases","/html/body/header/div/div/div/div[2]/div/ul/li[5]/a"
"a","","","","API Testing","/html/body/header/div/div/div/div[2]/div/ul/li[6]/a"
"a","","","","Video Tutorials","/html/body/header/div/div/div/div[2]/div/ul/li[7]/a"
"a","","","","Contact us","/html/body/header/div/div/div/div[2]/div/ul/li[8]/a"
"a","","","test_cases_list","Test Cases","/html/body/section/div/div/div/div/div/div/div/a"
"a","","","apis_list","APIs list for practice","/html/body/section/div/div/div/div/div/div/div/a[2]"
"a","","","test_cases_list","Test Cases","/html/body/section/div/div/div/div/div/div[2]/div/a"
"a","","","apis_list","APIs list for practice","/html/body/section/div/div/div/div/div/div[2]/div/a[2]"
"a","","","test_cases_list","Test Cases","/html/body/section/div/div/div/div/div/div[3]/div/a"
"a","","","apis_list","APIs list for practice","/html/body/section/div/div/div/div/div/div[3]/div/a[2]"
"a","","","left control-carousel hidden-xs","","/html/body/section/div/div/div/div/a"
"a","","","right control-carousel hidden-xs","","/html/body/section/div/div/div/div/a[2]"
"a","","","","Women","/html/body/section[2]/div/div/div/div/div/div/div/h4/a"
"a","","","","Dress","/html/body/section[2]/div/div/div/div/div/div/div[2]/div/ul/li/a"
"a","","","","Tops","/html/body/section[2]/div/div/div/div/div/div/div[2]/div/ul/li[2]/a"
"a","","","","Saree","/html/body/section[2]/div/div/div/div/div/div/div[2]/div/ul/li[3]/a"
"a","","","","Men","/html/body/section[2]/div/div/div/div/div/div[2]/div/h4/a"
"a","","","","Tshirts","/html/body/section[2]/div/div/div/div/div/div[2]/div[2]/div/ul/li/a"
"a","","","","Jeans","/html/body/section[2]/div/div/div/div/div/div[2]/div[2]/div/ul/li[2]/a"
"a","","","","Kids","/html/body/section[2]/div/div/div/div/div/div[3]/div/h4/a"
"a","","","","Dress","/html/body/section[2]/div/div/div/div/div/div[3]/div[2]/div/ul/li/a"
"a","","","","Tops & Shirts","/html/body/section[2]/div/div/div/div/div/div[3]/div[2]/div/ul/li[2]/a"
"a","","","","(6)Polo","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li/a"
"a","","","","(5)H&M","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[2]/a"
"a","","","","(5)Madame","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[3]/a"
"a","","","","(3)Mast & Harbour","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[4]/a"
"a","","","","(4)Babyhug","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[5]/a"
"a","","","","(3)Allen Solly Junior","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[6]/a"
"a","","","","(3)Kookie Kids","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[7]/a"
"a","","","","(5)Biba","/html/body/section[2]/div/div/div/div/div[3]/div/ul/li[8]/a"
"a","","","","View Cart","/html/body/section[2]/div/div/div[2]/div/div/div/div/div[2]/p[2]/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[2]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[2]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[2]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[3]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[3]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[3]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[4]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[4]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[4]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[5]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[5]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[5]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[6]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[6]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[6]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[7]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[7]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[7]/div/div[2]/ul/li/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[8]/div/div/div/a"
"a","","","btn btn-default add-to-cart","Add to cart","/html/body/section[2]/div/div/div[2]/div/div[8]/div/div/div[2]/div/a"
"a","","","","View Product","/html/body/section[2]/div/div/div[2]/div/div[8]/div/div[2]/ul/li/a"
